Type,Function,Mode,Series,X,Time_ns
u32,tmueller,loguniform,1-10,10,4.611438
u32,unrolledlut,loguniform,1-10,10,4.794441
u32,yy,loguniform,1-10,10,3.340143
u32,zmij_neon,loguniform,1-10,10,0.869930
u32,zmij_scalar,loguniform,1-10,10,1.672630
u32,amartin,loguniform,1-4,4,2.809395
u32,branchlut,loguniform,1-4,4,2.843976
u32,branchlut2,loguniform,1-4,4,3.314922
u32,countlut,loguniform,1-4,4,3.733963
u32,fmt,loguniform,1-4,4,3.595849
u32,jeaiii,loguniform,1-4,4,3.523052
u32,naive,loguniform,1-4,4,4.898985
u32,null,loguniform,1-4,4,0.651091
u32,tmueller,loguniform,1-4,4,2.307594
u32,unrolledlut,loguniform,1-4,4,4.101276
u32,yy,loguniform,1-4,4,2.355516
u32,zmij_neon,loguniform,1-4,4,0.869671
u32,zmij_scalar,loguniform,1-4,4,1.611819
u32,amartin,uniform,0-255,0,2.552758
u32,branchlut,uniform,0-255,0,2.532661
u32,branchlut2,uniform,0-255,0,2.314071
u32,countlut,uniform,0-255,0,2.173960
u32,fmt,uniform,0-255,0,2.199709
u32,jeaiii,uniform,0-255,0,2.041429
u32,naive,uniform,0-255,0,3.560732
u32,null,uniform,0-255,0,0.651101
u32,tmueller,uniform,0-255,0,1.265973
u32,unrolledlut,uniform,0-255,0,2.755960
u32,yy,uniform,0-255,0,2.166986
u32,zmij_neon,uniform,0-255,0,0.869314
u32,zmij_scalar,uniform,0-255,0,1.614283
u32,amartin,unpredictable,,1,2.755751
u32,branchlut,unpredictable,,1,1.781384
u32,branchlut2,unpredictable,,1,0.853410
u32,countlut,unpredictable,,1,3.292352
u32,fmt,unpredictable,,1,3.207326
u32,jeaiii,unpredictable,,1,3.287862
u32,naive,unpredictable,,1,3.747940
u32,null,unpredictable,,1,0.650346
u32,tmueller,unpredictable,,1,1.527737
u32,unrolledlut,unpredictable,,1,2.218256
u32,yy,unpredictable,,1,3.313382
u32,zmij_neon,unpredictable,,1,0.889311
u32,zmij_scalar,unpredictable,,1,1.701941
u32,amartin,unpredictable,,2,2.673000
u32,branchlut,unpredictable,,2,2.010604
u32,branchlut2,unpredictable,,2,0.379811
u32,countlut,unpredictable,,2,2.991845
u32,fmt,unpredictable,,2,2.744834
u32,jeaiii,unpredictable,,2,3.089239
u32,naive,unpredictable,,2,4.070977
u32,null,unpredictable,,2,0.650346
u32,tmueller,unpredictable,,2,1.406223
u32,unrolledlut,unpredictable,,2,1.901557
u32,yy,unpredictable,,2,3.067235
u32,zmij_neon,unpredictable,,2,0.873655
