Type,Function,Mode,Series,X,Time_ns
u32,amartin,bylength,,1,0.770020
u32,branchlut,bylength,,1,1.329834
u32,branchlut2,bylength,,1,0.834753
u32,countlut,bylength,,1,0.998485
u32,fmt,bylength,,1,0.956711
u32,jeaiii,bylength,,1,1.083503
u32,naive,bylength,,1,1.294606
u32,null,bylength,,1,0.849640
u32,sse2,bylength,,1,1.217189
u32,tmueller,bylength,,1,0.917956
u32,unrolledlut,bylength,,1,1.158212
u32,yy,bylength,,1,0.987946
u32,amartin,bylength,,2,0.790458
u32,branchlut,bylength,,2,1.202346
u32,branchlut2,bylength,,2,0.804585
u32,countlut,bylength,,2,1.054322
u32,fmt,bylength,,2,1.030742
u32,jeaiii,bylength,,2,0.758315
u32,naive,bylength,,2,2.047379
u32,null,bylength,,2,0.791871
u32,sse2,bylength,,2,1.250596
u32,tmueller,bylength,,2,1.353741
u32,unrolledlut,bylength,,2,1.052727
u32,yy,bylength,,2,0.968320
u32,amartin,bylength,,3,0.915167
u32,branchlut,bylength,,3,1.267786
u32,branchlut2,bylength,,3,1.236570
u32,countlut,bylength,,3,1.283132
u32,fmt,bylength,,3,1.257524
u32,jeaiii,bylength,,3,0.944854
u32,naive,bylength,,3,2.698070
u32,null,bylength,,3,0.787438
u32,sse2,bylength,,3,1.216849
u32,tmueller,bylength,,3,1.356884
u32,unrolledlut,bylength,,3,1.332911
u32,yy,bylength,,3,1.140698
u32,amartin,bylength,,4,0.909472
u32,branchlut,bylength,,4,1.326576
u32,branchlut2,bylength,,4,1.345878
u32,countlut,bylength,,4,1.356454
u32,fmt,bylength,,4,1.258498
u32,jeaiii,bylength,,4,1.032185
u32,naive,bylength,,4,3.514401
u32,null,bylength,,4,0.826976
u32,sse2,bylength,,4,1.294195
u32,tmueller,bylength,,4,0.945025
u32,unrolledlut,bylength,,4,1.205250
u32,yy,bylength,,4,1.133235
u32,amartin,bylength,,5,1.320748
u32,branchlut,bylength,,5,1.829453
u32,branchlut2,bylength,,5,1.309674
u32,countlut,bylength,,5,1.701285
u32,fmt,bylength,,5,1.794197
u32,jeaiii,bylength,,5,1.116219
u32,naive,bylength,,5,4.236476
u32,null,bylength,,5,0.777626
u32,sse2,bylength,,5,1.828671
u32,tmueller,bylength,,5,0.939111
u32,unrolledlut,bylength,,5,1.406417
u32,yy,bylength,,5,1.228134
u32,amartin,bylength,,6,1.317842
u32,branchlut,bylength,,6,2.002310
u32,branchlut2,bylength,,6,1.471026
u32,countlut,bylength,,6,1.793414
u32,fmt,bylength,,6,1.794455
u32,jeaiii,bylength,,6,1.142093
u32,naive,bylength,,6,5.028423
u32,null,bylength,,6,0.851980
u32,sse2,bylength,,6,1.953829
u32,tmueller,bylength,,6,1.404314
u32,unrolledlut,bylength,,6,1.366611
u32,yy,bylength,,6,1.216802
u32,amartin,bylength,,7,1.814463
u32,branchlut,bylength,,7,2.075022
u32,branchlut2,bylength,,7,1.773300
u32,countlut,bylength,,7,2.165411
u32,fmt,bylength,,7,2.283355
u32,jeaiii,bylength,,7,1.299307
u32,naive,bylength,,7,5.808237
u32,null,bylength,,7,0.839579
u32,sse2,bylength,,7,2.055387
u32,tmueller,bylength,,7,1.404152
u32,unrolledlut,bylength,,7,1.475870
u32,yy,bylength,,7,1.612685
u32,amartin,bylength,,8,1.886600
u32,branchlut,bylength,,8,2.232274
u32,branchlut2,bylength,,8,1.866966
u32,countlut,bylength,,8,2.287081
u32,fmt,bylength,,8,2.322643
u32,jeaiii,bylength,,8,1.297989
u32,naive,bylength,,8,6.190830
u32,null,bylength,,8,0.855430
