Type,Function,Mode,Series,X,Time_ns
u32,zmij_x64_v2,bylength,,7,1.354607
u32,zmij_x64_v3,bylength,,7,1.295542
u32,zmij_x64_v3_nokernel,bylength,,7,1.285748
u32,zmij_x64_v4,bylength,,7,1.301379
u32,amartin,bylength,,8,1.828248
u32,branchlut,bylength,,8,2.136305
u32,branchlut2,bylength,,8,1.833966
u32,countlut,bylength,,8,2.204404
u32,fmt,bylength,,8,2.254739
u32,jeaiii,bylength,,8,1.280947
u32,naive,bylength,,8,5.830535
u32,null,bylength,,8,0.767154
u32,sse2,bylength,,8,2.107715
u32,tmueller,bylength,,8,1.851595
u32,unrolledlut,bylength,,8,1.407600
u32,yy,bylength,,8,1.597610
u32,zmij_scalar,bylength,,8,2.241517
u32,zmij_x64_native,bylength,,8,1.286665
u32,zmij_x64_v1,bylength,,8,1.904175
u32,zmij_x64_v2,bylength,,8,1.364835
u32,zmij_x64_v3,bylength,,8,1.290348
u32,zmij_x64_v3_nokernel,bylength,,8,1.290203
u32,zmij_x64_v4,bylength,,8,1.292367
u32,amartin,bylength,,9,2.147615
u32,branchlut,bylength,,9,1.931179
u32,branchlut2,bylength,,9,1.937320
u32,countlut,bylength,,9,2.589122
u32,fmt,bylength,,9,2.809292
u32,jeaiii,bylength,,9,1.538192
u32,naive,bylength,,9,6.665026
u32,null,bylength,,9,0.750846
u32,sse2,bylength,,9,1.202464
u32,tmueller,bylength,,9,1.875407
u32,unrolledlut,bylength,,9,1.848284
u32,yy,bylength,,9,1.970759
u32,zmij_scalar,bylength,,9,2.309588
u32,zmij_x64_native,bylength,,9,1.303317
u32,zmij_x64_v1,bylength,,9,1.902586
u32,zmij_x64_v2,bylength,,9,1.359432
u32,zmij_x64_v3,bylength,,9,1.318779
u32,zmij_x64_v3_nokernel,bylength,,9,1.285700
u32,zmij_x64_v4,bylength,,9,1.299487
u32,amartin,bylength,,10,2.220604
u32,branchlut,bylength,,10,2.003943
u32,branchlut2,bylength,,10,1.949156
u32,countlut,bylength,,10,2.758893
u32,fmt,bylength,,10,2.812328
u32,jeaiii,bylength,,10,1.512568
u32,naive,bylength,,10,7.647302
u32,null,bylength,,10,0.823988
u32,sse2,bylength,,10,1.297206
u32,tmueller,bylength,,10,1.871189
u32,unrolledlut,bylength,,10,1.782038
u32,yy,bylength,,10,1.952579
u32,zmij_scalar,bylength,,10,2.261353
u32,zmij_x64_native,bylength,,10,1.295895
u32,zmij_x64_v1,bylength,,10,1.903427
u32,zmij_x64_v2,bylength,,10,1.359412
u32,zmij_x64_v3,bylength,,10,1.279449
u32,zmij_x64_v3_nokernel,bylength,,10,1.291204
u32,zmij_x64_v4,bylength,,10,1.300273
u32,amartin,loguniform,1-10,10,6.031531
u32,branchlut,loguniform,1-10,10,8.228084
u32,branchlut2,loguniform,1-10,10,8.819322
u32,countlut,loguniform,1-10,10,8.596815
u32,fmt,loguniform,1-10,10,9.266007
u32,jeaiii,loguniform,1-10,10,8.649667
u32,naive,loguniform,1-10,10,10.240777
u32,null,loguniform,1-10,10,0.849843
u32,sse2,loguniform,1-10,10,8.369764
u32,tmueller,loguniform,1-10,10,6.535753
u32,unrolledlut,loguniform,1-10,10,7.718659
u32,yy,loguniform,1-10,10,5.827942
u32,zmij_scalar,loguniform,1-10,10,2.243600
u32,zmij_x64_native,loguniform,1-10,10,1.295598
u32,zmij_x64_v1,loguniform,1-10,10,1.909263
u32,zmij_x64_v2,loguniform,1-10,10,1.358464
u32,zmij_x64_v3,loguniform,1-10,10,1.314219
u32,zmij_x64_v3_nokernel,loguniform,1-10,10,1.303792
u32,zmij_x64_v4,loguniform,1-10,10,1.292311
u32,amartin,loguniform,1-4,4,3.594972
u32,branchlut,loguniform,1-4,4,5.415356
u32,branchlut2,loguniform,1-4,4,6.105850
u32,countlut,loguniform,1-4,4,6.033680
u32,fmt,loguniform,1-4,4,5.929444
u32,jeaiii,loguniform,1-4,4,5.930911
u32,naive,loguniform,1-4,4,6.484146
u32,null,loguniform,1-4,4,0.882645
u32,sse2,loguniform,1-4,4,5.312625
u32,tmueller,loguniform,1-4,4,3.988555
u32,unrolledlut,loguniform,1-4,4,6.294033
u32,yy,loguniform,1-4,4,3.615428
u32,zmij_scalar,loguniform,1-4,4,2.251951
u32,zmij_x64_native,loguniform,1-4,4,1.281716
u32,zmij_x64_v1,loguniform,1-4,4,1.888219
u32,zmij_x64_v2,loguniform,1-4,4,1.350486
u32,zmij_x64_v3,loguniform,1-4,4,1.286754
u32,zmij_x64_v3_nokernel,loguniform,1-4,4,1.331649
u32,zmij_x64_v4,loguniform,1-4,4,1.302184
u32,amartin,uniform,0-255,0,3.091949
u32,branchlut,uniform,0-255,0,3.348814
u32,branchlut2,uniform,0-255,0,3.419101
u32,countlut,uniform,0-255,0,3.326810
u32,fmt,uniform,0-255,0,3.235583
u32,jeaiii,uniform,0-255,0,3.278995
u32,naive,uniform,0-255,0,4.547179
u32,null,uniform,0-255,0,0.854463
u32,sse2,uniform,0-255,0,3.373105
u32,tmueller,uniform,0-255,0,1.569821
u32,unrolledlut,uniform,0-255,0,3.302507
u32,yy,uniform,0-255,0,3.179482
u32,zmij_scalar,uniform,0-255,0,2.232087
u32,zmij_x64_native,uniform,0-255,0,1.292083
u32,zmij_x64_v1,uniform,0-255,0,1.903776
u32,zmij_x64_v2,uniform,0-255,0,1.351406
u32,zmij_x64_v3,uniform,0-255,0,1.280885
u32,zmij_x64_v3_nokernel,uniform,0-255,0,1.301705
u32,zmij_x64_v4,uniform,0-255,0,1.289154
u32,amartin,unpredictable,,1,3.042909
u32,branchlut,unpredictable,,1,2.678662
u32,branchlut2,unpredictable,,1,1.239916
