Type,Function,Mode,Series,X,Time_ns
u32,tmueller,loguniform,1-10,10,3.901968
u32,unrolledlut,loguniform,1-10,10,4.981845
u32,yy,loguniform,1-10,10,3.318047
u32,zmij_neon,loguniform,1-10,10,0.918224
u32,zmij_scalar,loguniform,1-10,10,1.655253
u32,amartin,loguniform,1-4,4,2.825489
u32,branchlut,loguniform,1-4,4,3.284425
u32,branchlut2,loguniform,1-4,4,3.575702
u32,countlut,loguniform,1-4,4,3.720134
u32,fmt,loguniform,1-4,4,3.404428
u32,jeaiii,loguniform,1-4,4,3.524661
u32,naive,loguniform,1-4,4,4.771004
u32,null,loguniform,1-4,4,0.651091
u32,tmueller,loguniform,1-4,4,1.952728
u32,unrolledlut,loguniform,1-4,4,4.496584
u32,yy,loguniform,1-4,4,2.440810
u32,zmij_neon,loguniform,1-4,4,0.919312
u32,zmij_scalar,loguniform,1-4,4,1.678805
u32,amartin,uniform,0-255,0,2.559215
u32,branchlut,uniform,0-255,0,2.469490
u32,branchlut2,uniform,0-255,0,2.299865
u32,countlut,uniform,0-255,0,2.212793
u32,fmt,uniform,0-255,0,2.389103
u32,jeaiii,uniform,0-255,0,2.184182
u32,naive,uniform,0-255,0,3.514469
u32,null,uniform,0-255,0,0.651121
u32,tmueller,uniform,0-255,0,1.299948
u32,unrolledlut,uniform,0-255,0,2.757321
u32,yy,uniform,0-255,0,2.165854
u32,zmij_neon,uniform,0-255,0,0.921875
u32,zmij_scalar,uniform,0-255,0,1.648883
u32,amartin,unpredictable,,1,2.487619
u32,branchlut,unpredictable,,1,1.571010
u32,branchlut2,unpredictable,,1,0.447790
u32,countlut,unpredictable,,1,3.200779
u32,fmt,unpredictable,,1,2.625257
u32,jeaiii,unpredictable,,1,2.798616
u32,naive,unpredictable,,1,4.059385
u32,null,unpredictable,,1,0.651727
u32,tmueller,unpredictable,,1,2.052903
u32,unrolledlut,unpredictable,,1,1.949111
u32,yy,unpredictable,,1,2.625436
u32,zmij_neon,unpredictable,,1,0.905345
u32,zmij_scalar,unpredictable,,1,1.732647
u32,amartin,unpredictable,,2,2.635578
u32,branchlut,unpredictable,,2,1.477987
u32,branchlut2,unpredictable,,2,0.880957
u32,countlut,unpredictable,,2,2.949824
u32,fmt,unpredictable,,2,2.549877
u32,jeaiii,unpredictable,,2,2.907375
u32,naive,unpredictable,,2,4.288604
u32,null,unpredictable,,2,0.650336
u32,tmueller,unpredictable,,2,1.891772
u32,unrolledlut,unpredictable,,2,1.649559
u32,yy,unpredictable,,2,2.644430
u32,zmij_neon,unpredictable,,2,0.921736
u32,zmij_scalar,unpredictable,,2,1.673480
u32,amartin,unpredictable,,3,2.519608
u32,branchlut,unpredictable,,3,1.947155
u32,branchlut2,unpredictable,,3,1.084407
u32,countlut,unpredictable,,3,2.572725
u32,fmt,unpredictable,,3,2.378752
u32,jeaiii,unpredictable,,3,1.296520
u32,naive,unpredictable,,3,5.136043
u32,null,unpredictable,,3,0.650336
u32,tmueller,unpredictable,,3,1.776814
u32,unrolledlut,unpredictable,,3,1.347562
u32,yy,unpredictable,,3,2.539625
u32,zmij_neon,unpredictable,,3,0.913471
u32,zmij_scalar,unpredictable,,3,1.729568
u32,amartin,unpredictable,,4,2.594213
